Entreprise,Profil,Experience,Niveau_Etude,Technologie,Salaire
Dell Technologies Maroc,Chef de Projet IT,4,Master,Prince2,13000
Atos Maroc,Ingénieur Cybersécurité,2,Ingénieur,ISO 27001,14000
Dell Technologies Maroc,Développeur Mobile,9,Master,Xamarin,13000
Microsoft Maroc,DevOps Engineer,9,Ingénieur,AWS,25000
Accenture Maroc,Chef de Projet IT,13,Ingénieur,Kanban,22000
SAP Maroc,Ingénieur Réseau,4,Bac+3,Juniper,10000
Accenture Maroc,Chef de Projet IT,8,Master,PMI,16000
Cisco Maroc,Business Intelligence,10,Ingénieur,QlikView,14000
Tata Consultancy Services Maroc,Chef de Projet IT,9,Ingénieur,Prince2,12000
KPMG Technology Maroc,Architecte Solutions,0,Ingénieur,UML,16000
Accenture Maroc,Ingénieur Cybersécurité,15,Master,ISO 27001,23000
IBM Maroc,Business Intelligence,5,Bac+3,Tableau,12000
IBM Maroc,Architecte Solutions,0,Master,Enterprise Architecture,17000
Sopra Steria Maroc,DevOps Engineer,14,Ingénieur,AWS,19000
Cisco Maroc,Ingénieur Cybersécurité,8,Master,CISSP,14000
Tata Consultancy Services Maroc,Développeur Mobile,5,Doctorat,Ionic,10000
EY Digital Maroc,Data Scientist / IA,2,Bac+3,TensorFlow,10000
Accenture Maroc,Cloud Engineer,8,Master,AWS,17000
CGI Maroc,Développeur Mobile,0,Ingénieur,Swift,10000
Dell Technologies Maroc,Développeur Full Stack,12,Bac+3,Node.js,11000
IBM Maroc,Développeur Full Stack,10,Ingénieur,Java Spring,24000
Atos Maroc,Développeur Mobile,7,Master,Ionic,10000
SAP Maroc,Data Scientist / IA,10,Doctorat,R,30000
Oracle Maroc,Business Intelligence,15,Master,Power BI,19000
Accenture Maroc,Architecte Solutions,11,Bac+3,Microservices,15000
Orange Business Services Maroc,Business Intelligence,8,Bac+3,Talend,8000
PWC Digital Maroc,Ingénieur Cybersécurité,2,Bac+2,Pentest,7000
KPMG Technology Maroc,Ingénieur Cybersécurité,5,Bac+3,Security+,12000
Deloitte Digital Maroc,Développeur Mobile,15,Master,Ionic,15000
Tata Consultancy Services Maroc,Architecte Solutions,8,Bac+3,API,9000
Deloitte Digital Maroc,Architecte Solutions,10,Bac+3,Microservices,11000
EY Digital Maroc,DevOps Engineer,2,Bac+3,AWS,9000
Lenovo Maroc,Développeur Full Stack,8,Master,React,13000
Lenovo Maroc,Cloud Engineer,7,Ingénieur,Google Cloud,16000
KPMG Technology Maroc,Ingénieur Réseau,14,Ingénieur,Cisco,16000
Microsoft Maroc,Développeur Full Stack,0,Master,Angular,18000
PWC Digital Maroc,Business Intelligence,3,Bac+2,Oracle BI,6000
Microsoft Maroc,Cloud Engineer,2,Ingénieur,OpenStack,21000
Orange Business Services Maroc,Architecte Solutions,14,Ingénieur,Microservices,17000
Accenture Maroc,Chef de Projet IT,15,Ingénieur,Prince2,22000
Sopra Steria Maroc,Data Scientist / IA,12,Ingénieur,PyTorch,21000
Oracle Maroc,DevOps Engineer,7,Ingénieur,Terraform,22000
Orange Business Services Maroc,Développeur Mobile,5,Bac+3,Kotlin,7000
Sopra Steria Maroc,Business Intelligence,8,Ingénieur,Power BI,16000
IBM Maroc,DevOps Engineer,4,Ingénieur,GitLab CI/CD,22000
Cisco Maroc,Ingénieur Réseau,11,Ingénieur,Fortinet,13000
PWC Digital Maroc,Développeur Full Stack,0,Ingénieur,Python Django,15000
PWC Digital Maroc,Architecte Solutions,9,Ingénieur,UML,20000
EY Digital Maroc,Cloud Engineer,0,Bac+3,Terraform,9000
Sopra Steria Maroc,Développeur Mobile,3,Bac+3,Flutter,7000
Accenture Maroc,Business Intelligence,4,Ingénieur,QlikView,17000
Oracle Maroc,Business Intelligence,6,Doctorat,Talend,21000
PWC Digital Maroc,Business Intelligence,12,Master,SAP BO,14000
Microsoft Maroc,Développeur Mobile,10,Ingénieur,Flutter,24000
Microsoft Maroc,Chef de Projet IT,13,Ingénieur,Agile,29000
IBM Maroc,Chef de Projet IT,1,Bac+3,Agile,10000
PWC Digital Maroc,Chef de Projet IT,2,Master,Kanban,13000
Huawei Maroc,Ingénieur Réseau,7,Master,SD-WAN,10000
Deloitte Digital Maroc,Cloud Engineer,10,Master,Kubernetes,18000
Oracle Maroc,Data Scientist / IA,1,Bac+2,Scikit-learn,9000
CGI Maroc,Développeur Mobile,5,Ingénieur,Xamarin,13000
Cisco Maroc,Chef de Projet IT,9,Bac+3,Prince2,9000
SAP Maroc,Chef de Projet IT,5,Master,JIRA,18000
IBM Maroc,Architecte Solutions,9,Master,API,19000
Huawei Maroc,Développeur Mobile,8,Ingénieur,Ionic,13000
SAP Maroc,Data Scientist / IA,9,Ingénieur,Scikit-learn,25000
Capgemini Maroc,Développeur Full Stack,5,Master,Java Spring,15000
Sopra Steria Maroc,Data Scientist / IA,5,Ingénieur,Python,19000
Atos Maroc,Architecte Solutions,5,Bac+3,Cloud Architecture,9000
PWC Digital Maroc,Cloud Engineer,10,Master,Terraform,19000
Microsoft Maroc,Ingénieur Réseau,4,Master,Fortinet,16000
Huawei Maroc,Développeur Full Stack,14,Master,.NET Core,13000
SAP Maroc,Chef de Projet IT,2,Ingénieur,MS Project,19000
CGI Maroc,Chef de Projet IT,7,Master,JIRA,12000
Cisco Maroc,Business Intelligence,12,Master,Tableau,15000
Sopra Steria Maroc,Architecte Solutions,12,Doctorat,Enterprise Architecture,24000
Orange Business Services Maroc,Ingénieur Cybersécurité,4,Ingénieur,Pentest,13000
SAP Maroc,Architecte Solutions,4,Master,API,19000
CGI Maroc,Business Intelligence,5,Ingénieur,QlikView,14000
Microsoft Maroc,Data Scientist / IA,12,Doctorat,Spark,38000
Dell Technologies Maroc,Chef de Projet IT,0,Master,MS Project,11000
Atos Maroc,Chef de Projet IT,1,Bac+3,MS Project,7000
Tata Consultancy Services Maroc,Développeur Mobile,6,Master,Kotlin,8000
KPMG Technology Maroc,Architecte Solutions,8,Ingénieur,SOA,20000
EY Digital Maroc,Architecte Solutions,14,Ingénieur,Cloud Architecture,23000
Oracle Maroc,Architecte Solutions,9,Master,SOA,20000
Microsoft Maroc,Développeur Mobile,0,Bac+3,Swift,10000
Microsoft Maroc,Chef de Projet IT,8,Ingénieur,Prince2,23000
EY Digital Maroc,Ingénieur Réseau,3,Master,CCNP,12000
EY Digital Maroc,Développeur Full Stack,6,Master,Python Django,15000
Dell Technologies Maroc,Cloud Engineer,3,Master,Docker,13000
Atos Maroc,Business Intelligence,11,Doctorat,SAP BO,14000
EY Digital Maroc,Cloud Engineer,8,Ingénieur,Docker,18000
IBM Maroc,Développeur Mobile,3,Master,React Native,14000
IBM Maroc,Data Scientist / IA,15,Ingénieur,Tableau,28000
SAP Maroc,Architecte Solutions,14,Ingénieur,SOA,30000
Cisco Maroc,Chef de Projet IT,5,Master,JIRA,12000
PWC Digital Maroc,Développeur Mobile,4,Bac+3,Swift,9000
Deloitte Digital Maroc,Cloud Engineer,2,Ingénieur,Google Cloud,17000
Tata Consultancy Services Maroc,Développeur Mobile,1,Master,Swift,7000
Capgemini Maroc,Architecte Solutions,9,Ingénieur,UML,19000
Deloitte Digital Maroc,Développeur Mobile,14,Ingénieur,Kotlin,17000
PWC Digital Maroc,Cloud Engineer,8,Ingénieur,OpenStack,19000
Dell Technologies Maroc,Cloud Engineer,6,Bac+3,AWS,9000
EY Digital Maroc,Ingénieur Réseau,8,Master,CCNP,13000
Deloitte Digital Maroc,DevOps Engineer,14,Ingénieur,Ansible,22000
Atos Maroc,Développeur Full Stack,5,Master,Vue.js,12000
Orange Business Services Maroc,Développeur Full Stack,0,Bac+3,.NET Core,7000
Capgemini Maroc,Data Scientist / IA,4,Ingénieur,Python,20000
Lenovo Maroc,Développeur Full Stack,15,Ingénieur,Python Django,16000
Sopra Steria Maroc,Ingénieur Réseau,5,Ingénieur,CCNA,12000
IBM Maroc,Business Intelligence,11,Master,Talend,17000
HP Maroc,Chef de Projet IT,10,Ingénieur,MS Project,16000
CGI Maroc,DevOps Engineer,9,Doctorat,Jenkins,19000
CGI Maroc,Chef de Projet IT,4,Master,MS Project,11000
KPMG Technology Maroc,Chef de Projet IT,0,Ingénieur,Scrum,16000
IBM Maroc,DevOps Engineer,8,Master,Docker,19000
SAP Maroc,Ingénieur Cybersécurité,6,Doctorat,CISSP,25000
HP Maroc,Développeur Mobile,7,Ingénieur,Ionic,13000
Cisco Maroc,Chef de Projet IT,14,Ingénieur,Kanban,21000
Capgemini Maroc,Développeur Full Stack,13,Ingénieur,.NET Core,19000
Huawei Maroc,Développeur Mobile,5,Master,React Native,10000
Atos Maroc,Ingénieur Cybersécurité,15,Master,Pentest,17000
EY Digital Maroc,Cloud Engineer,8,Master,Kubernetes,18000
PWC Digital Maroc,Business Intelligence,4,Bac+3,Tableau,9000
Dell Technologies Maroc,Ingénieur Cybersécurité,1,Bac+3,CISSP,10000
Accenture Maroc,Data Scientist / IA,5,Ingénieur,Tableau,23000
SAP Maroc,Business Intelligence,15,Ingénieur,QlikView,24000
Cisco Maroc,Business Intelligence,13,Master,QlikView,14000
Atos Maroc,Cloud Engineer,0,Bac+2,AWS,6000
KPMG Technology Maroc,Développeur Mobile,3,Ingénieur,Flutter,14000
Capgemini Maroc,Développeur Mobile,1,Master,Xamarin,11000
IBM Maroc,Architecte Solutions,3,Master,SOA,16000
Cisco Maroc,Ingénieur Réseau,15,Master,Juniper,12000
Accenture Maroc,Cloud Engineer,8,Master,Google Cloud,17000
Sopra Steria Maroc,Data Scientist / IA,3,Bac+3,TensorFlow,11000
Capgemini Maroc,DevOps Engineer,3,Ingénieur,GitLab CI/CD,17000
Lenovo Maroc,Ingénieur Réseau,0,Ingénieur,Palo Alto,9000
Huawei Maroc,Data Scientist / IA,14,Ingénieur,Scikit-learn,19000
Tata Consultancy Services Maroc,Développeur Mobile,3,Ingénieur,Xamarin,11000
Huawei Maroc,Ingénieur Cybersécurité,15,Master,Ethical Hacking,17000
PWC Digital Maroc,Business Intelligence,6,Master,SQL Server,15000
HP Maroc,Développeur Full Stack,1,Bac+3,Vue.js,8000
Orange Business Services Maroc,Cloud Engineer,9,Master,Kubernetes,13000
Orange Business Services Maroc,Développeur Full Stack,1,Master,React,10000
Cisco Maroc,Architecte Solutions,3,Ingénieur,API,15000
Atos Maroc,Data Scientist / IA,10,Ingénieur,Python,18000
Accenture Maroc,Développeur Mobile,4,Bac+3,Android Studio,8000
Orange Business Services Maroc,Ingénieur Réseau,15,Master,Cisco,12000
HP Maroc,Data Scientist / IA,7,Ingénieur,Tableau,19000
Microsoft Maroc,Business Intelligence,8,Master,SQL Server,19000
Capgemini Maroc,Chef de Projet IT,9,Master,JIRA,15000
Oracle Maroc,Architecte Solutions,2,Master,SOA,18000
SAP Maroc,DevOps Engineer,10,Ingénieur,Docker,23000
Lenovo Maroc,DevOps Engineer,12,Doctorat,GitLab CI/CD,16000
Cisco Maroc,Business Intelligence,6,Master,Tableau,12000
SAP Maroc,Développeur Full Stack,11,Master,Java Spring,19000
Accenture Maroc,Architecte Solutions,3,Master,Microservices,18000
Atos Maroc,Architecte Solutions,7,Doctorat,Microservices,20000
Capgemini Maroc,DevOps Engineer,3,Master,Docker,14000
SAP Maroc,Data Scientist / IA,3,Bac+2,Python,11000
Cisco Maroc,Chef de Projet IT,13,Ingénieur,PMI,17000
HP Maroc,Ingénieur Réseau,6,Master,Fortinet,9000
Orange Business Services Maroc,Ingénieur Réseau,7,Doctorat,Cisco,12000
HP Maroc,Cloud Engineer,3,Ingénieur,Docker,15000
Accenture Maroc,Ingénieur Réseau,8,Master,Juniper,13000
Huawei Maroc,Ingénieur Réseau,3,Ingénieur,CCNA,12000
Atos Maroc,Data Scientist / IA,9,Ingénieur,R,21000
EY Digital Maroc,Cloud Engineer,9,Ingénieur,Azure,22000
KPMG Technology Maroc,Data Scientist / IA,15,Bac+3,PyTorch,16000
Microsoft Maroc,Ingénieur Réseau,2,Ingénieur,Palo Alto,19000
Deloitte Digital Maroc,Business Intelligence,11,Master,SQL Server,17000
EY Digital Maroc,Ingénieur Réseau,7,Master,Palo Alto,13000
Huawei Maroc,Développeur Mobile,7,Master,Kotlin,11000
Dell Technologies Maroc,Cloud Engineer,6,Doctorat,Docker,16000
Dell Technologies Maroc,Architecte Solutions,2,Ingénieur,System Design,16000
CGI Maroc,Business Intelligence,3,Master,Oracle BI,11000
Microsoft Maroc,Business Intelligence,1,Ingénieur,Talend,18000
Sopra Steria Maroc,Architecte Solutions,9,Doctorat,System Design,20000
CGI Maroc,Ingénieur Réseau,1,Master,SD-WAN,9000
Orange Business Services Maroc,DevOps Engineer,5,Ingénieur,AWS,14000
Lenovo Maroc,Data Scientist / IA,8,Bac+3,Scikit-learn,10000
CGI Maroc,Data Scientist / IA,3,Bac+3,Spark,10000
Huawei Maroc,Chef de Projet IT,14,Master,Scrum,13000
HP Maroc,Développeur Full Stack,8,Ingénieur,Angular,14000
Orange Business Services Maroc,Développeur Full Stack,10,Doctorat,.NET Core,18000
Orange Business Services Maroc,Architecte Solutions,15,Ingénieur,Enterprise Architecture,20000
Orange Business Services Maroc,Architecte Solutions,1,Bac+3,System Design,8000
Orange Business Services Maroc,Développeur Mobile,10,Master,Flutter,10000
HP Maroc,Ingénieur Réseau,8,Bac+3,CCNP,8000
Cisco Maroc,Cloud Engineer,6,Master,OpenStack,15000
Atos Maroc,DevOps Engineer,0,Bac+3,Jenkins,7000
SAP Maroc,Ingénieur Cybersécurité,4,Master,Firewall,18000
SAP Maroc,Ingénieur Cybersécurité,4,Master,ISO 27001,21000
Huawei Maroc,Chef de Projet IT,7,Ingénieur,Agile,15000
Sopra Steria Maroc,DevOps Engineer,8,Master,Kubernetes,15000
Deloitte Digital Maroc,Développeur Full Stack,11,Ingénieur,Python Django,23000
KPMG Technology Maroc,Business Intelligence,14,Doctorat,Talend,21000
Oracle Maroc,Chef de Projet IT,13,Ingénieur,MS Project,23000
PWC Digital Maroc,Ingénieur Réseau,0,Bac+3,Juniper,8000
EY Digital Maroc,Développeur Mobile,8,Ingénieur,React Native,16000
EY Digital Maroc,Business Intelligence,0,Bac+3,Tableau,7000
Microsoft Maroc,Chef de Projet IT,4,Master,Agile,17000
Sopra Steria Maroc,Ingénieur Cybersécurité,6,Master,Security+,14000
Capgemini Maroc,Ingénieur Cybersécurité,10,Ingénieur,ISO 27001,19000
Deloitte Digital Maroc,Développeur Mobile,2,Bac+2,Swift,6000
Tata Consultancy Services Maroc,Ingénieur Cybersécurité,10,Bac+3,ISO 27001,10000
Orange Business Services Maroc,Business Intelligence,3,Master,SAP BO,8000
IBM Maroc,Développeur Mobile,3,Master,Flutter,15000
HP Maroc,Business Intelligence,2,Bac+3,Oracle BI,7000
Dell Technologies Maroc,DevOps Engineer,2,Master,GitLab CI/CD,11000
HP Maroc,Chef de Projet IT,0,Bac+3,Kanban,6000
Cisco Maroc,Développeur Mobile,5,Bac+3,Kotlin,8000
Cisco Maroc,Chef de Projet IT,0,Master,MS Project,10000
CGI Maroc,Développeur Full Stack,10,Ingénieur,Java Spring,19000
Deloitte Digital Maroc,Ingénieur Cybersécurité,1,Bac+3,SIEM,10000
IBM Maroc,Chef de Projet IT,2,Bac+2,Scrum,8000
EY Digital Maroc,Ingénieur Réseau,12,Ingénieur,SD-WAN,15000
Deloitte Digital Maroc,Architecte Solutions,1,Master,Microservices,14000
CGI Maroc,Développeur Mobile,11,Ingénieur,Flutter,15000
Lenovo Maroc,Data Scientist / IA,1,Ingénieur,Tableau,14000
Lenovo Maroc,Cloud Engineer,8,Doctorat,Google Cloud,18000
SAP Maroc,Chef de Projet IT,11,Ingénieur,Scrum,22000
CGI Maroc,Architecte Solutions,1,Master,API,11000
EY Digital Maroc,Ingénieur Réseau,8,Ingénieur,Palo Alto,15000
Lenovo Maroc,Ingénieur Réseau,2,Bac+3,Palo Alto,5000
Atos Maroc,Cloud Engineer,9,Ingénieur,Azure,18000
Orange Business Services Maroc,Développeur Mobile,6,Doctorat,Ionic,13000
SAP Maroc,DevOps Engineer,13,Ingénieur,AWS,23000
EY Digital Maroc,Développeur Full Stack,8,Master,Java Spring,16000
SAP Maroc,Ingénieur Cybersécurité,3,Doctorat,Pentest,21000
Sopra Steria Maroc,Architecte Solutions,0,Bac+3,Cloud Architecture,9000
Deloitte Digital Maroc,Business Intelligence,1,Bac+3,SAP BO,9000
Oracle Maroc,Ingénieur Cybersécurité,5,Ingénieur,CISSP,24000
Tata Consultancy Services Maroc,DevOps Engineer,0,Master,Jenkins,10000
Sopra Steria Maroc,Data Scientist / IA,8,Ingénieur,Python,22000
IBM Maroc,Ingénieur Réseau,1,Bac+3,Cisco,8000
Atos Maroc,Business Intelligence,4,Ingénieur,SAP BO,11000
Cisco Maroc,Ingénieur Cybersécurité,11,Master,Ethical Hacking,18000
Cisco Maroc,Ingénieur Réseau,11,Master,Fortinet,12000
Atos Maroc,Architecte Solutions,7,Doctorat,System Design,20000
Accenture Maroc,Développeur Mobile,0,Ingénieur,Flutter,14000
Microsoft Maroc,Cloud Engineer,5,Master,AWS,18000
Dell Technologies Maroc,Ingénieur Cybersécurité,8,Ingénieur,Pentest,21000
Sopra Steria Maroc,Business Intelligence,3,Master,Talend,12000
SAP Maroc,Cloud Engineer,3,Bac+3,Docker,13000
Atos Maroc,Cloud Engineer,8,Ingénieur,Google Cloud,15000
HP Maroc,Data Scientist / IA,7,Ingénieur,Spark,18000
Sopra Steria Maroc,Business Intelligence,6,Ingénieur,QlikView,16000
HP Maroc,Architecte Solutions,1,Master,System Design,12000
Cisco Maroc,Développeur Mobile,13,Ingénieur,Android Studio,17000
CGI Maroc,Ingénieur Cybersécurité,5,Master,CISSP,13000
PWC Digital Maroc,Data Scientist / IA,11,Bac+3,Scikit-learn,13000
Atos Maroc,DevOps Engineer,10,Master,Kubernetes,16000
Huawei Maroc,Cloud Engineer,1,Bac+3,Terraform,8000
Cisco Maroc,Développeur Full Stack,10,Master,Python Django,16000
Microsoft Maroc,Développeur Full Stack,2,Bac+2,React,9000
Oracle Maroc,DevOps Engineer,12,Bac+3,Docker,15000
Accenture Maroc,Développeur Mobile,15,Ingénieur,Kotlin,18000
EY Digital Maroc,Cloud Engineer,10,Bac+3,Azure,11000
SAP Maroc,Développeur Mobile,4,Bac+3,Android Studio,9000
CGI Maroc,Data Scientist / IA,1,Master,Tableau,12000
Deloitte Digital Maroc,Chef de Projet IT,0,Ingénieur,Kanban,17000
CGI Maroc,Développeur Full Stack,1,Master,Vue.js,11000
Cisco Maroc,Data Scientist / IA,9,Master,Spark,17000
Atos Maroc,Développeur Mobile,4,Ingénieur,Kotlin,12000
HP Maroc,Ingénieur Cybersécurité,14,Doctorat,Firewall,20000
Huawei Maroc,Data Scientist / IA,8,Ingénieur,Python,18000
KPMG Technology Maroc,Développeur Mobile,13,Ingénieur,Swift,16000
Capgemini Maroc,Ingénieur Réseau,4,Master,CCNA,10000
Atos Maroc,Architecte Solutions,7,Ingénieur,Cloud Architecture,18000
Huawei Maroc,Architecte Solutions,4,Master,Enterprise Architecture,12000
Huawei Maroc,Développeur Full Stack,13,Bac+3,.NET Core,10000
IBM Maroc,Développeur Full Stack,2,Ingénieur,Node.js,20000
Sopra Steria Maroc,DevOps Engineer,7,Ingénieur,Terraform,17000
IBM Maroc,Chef de Projet IT,4,Master,MS Project,17000
Orange Business Services Maroc,DevOps Engineer,4,Master,Terraform,11000
KPMG Technology Maroc,Développeur Mobile,2,Ingénieur,Android Studio,12000
CGI Maroc,Développeur Full Stack,9,Master,Node.js,15000
KPMG Technology Maroc,Ingénieur Cybersécurité,5,Master,Security+,16000
Oracle Maroc,Ingénieur Réseau,0,Master,Fortinet,11000
SAP Maroc,Ingénieur Réseau,1,Bac+3,CCNA,8000
Capgemini Maroc,Ingénieur Réseau,4,Doctorat,Juniper,12000
Orange Business Services Maroc,Architecte Solutions,6,Master,Cloud Architecture,12000
SAP Maroc,Architecte Solutions,7,Ingénieur,Microservices,22000
Deloitte Digital Maroc,Cloud Engineer,7,Master,Kubernetes,18000
Lenovo Maroc,Développeur Mobile,2,Ingénieur,React Native,9000
SAP Maroc,Développeur Mobile,6,Ingénieur,Ionic,17000
Orange Business Services Maroc,DevOps Engineer,14,Doctorat,Docker,18000
Lenovo Maroc,DevOps Engineer,5,Bac+2,Docker,5000
PWC Digital Maroc,Développeur Mobile,5,Bac+3,Kotlin,9000
Deloitte Digital Maroc,DevOps Engineer,1,Bac+2,GitLab CI/CD,7000
Deloitte Digital Maroc,Data Scientist / IA,5,Ingénieur,Python,21000
KPMG Technology Maroc,Ingénieur Réseau,8,Doctorat,Juniper,15000
Sopra Steria Maroc,Ingénieur Cybersécurité,15,Master,Security+,19000
Atos Maroc,Cloud Engineer,4,Master,Docker,13000
EY Digital Maroc,Architecte Solutions,11,Ingénieur,System Design,21000
Lenovo Maroc,DevOps Engineer,7,Master,GitLab CI/CD,10000
Dell Technologies Maroc,Développeur Full Stack,2,Bac+3,Angular,9000
Sopra Steria Maroc,Développeur Full Stack,0,Bac+3,Vue.js,7000
SAP Maroc,Architecte Solutions,14,Ingénieur,Enterprise Architecture,26000
Lenovo Maroc,Architecte Solutions,7,Master,Cloud Architecture,12000
Orange Business Services Maroc,Ingénieur Cybersécurité,7,Ingénieur,Ethical Hacking,14000
Tata Consultancy Services Maroc,Business Intelligence,2,Bac+3,Talend,6000
Orange Business Services Maroc,Développeur Full Stack,1,Bac+3,Angular,6000
SAP Maroc,Développeur Full Stack,7,Ingénieur,.NET Core,24000
IBM Maroc,Ingénieur Cybersécurité,6,Ingénieur,Pentest,21000
Cisco Maroc,Data Scientist / IA,14,Ingénieur,R,25000
Capgemini Maroc,Développeur Mobile,3,Master,Xamarin,11000
IBM Maroc,Ingénieur Cybersécurité,1,Bac+3,SIEM,12000
Cisco Maroc,Ingénieur Réseau,8,Ingénieur,CCNP,14000
Huawei Maroc,Data Scientist / IA,3,Master,PyTorch,14000
SAP Maroc,Cloud Engineer,0,Bac+2,Terraform,9000
KPMG Technology Maroc,Ingénieur Cybersécurité,3,Bac+3,Security+,10000
Lenovo Maroc,DevOps Engineer,6,Master,Kubernetes,13000
IBM Maroc,Chef de Projet IT,1,Bac+3,MS Project,11000
IBM Maroc,Cloud Engineer,10,Ingénieur,Docker,25000
Capgemini Maroc,Business Intelligence,2,Bac+3,Talend,8000
PWC Digital Maroc,Architecte Solutions,11,Ingénieur,SOA,23000
Tata Consultancy Services Maroc,Ingénieur Cybersécurité,9,Doctorat,Pentest,17000
SAP Maroc,Ingénieur Réseau,5,Master,Cisco,13000
Accenture Maroc,Cloud Engineer,0,Master,AWS,16000
KPMG Technology Maroc,Data Scientist / IA,2,Ingénieur,Spark,20000
Microsoft Maroc,Développeur Mobile,9,Doctorat,Xamarin,20000
SAP Maroc,Ingénieur Réseau,2,Bac+3,Fortinet,9000
Sopra Steria Maroc,Business Intelligence,6,Ingénieur,Oracle BI,14000
Dell Technologies Maroc,Data Scientist / IA,0,Bac+3,Tableau,9000
Orange Business Services Maroc,Cloud Engineer,1,Ingénieur,Azure,12000
Deloitte Digital Maroc,Architecte Solutions,0,Bac+3,Cloud Architecture,9000
Dell Technologies Maroc,Ingénieur Réseau,3,Bac+2,Juniper,5000
IBM Maroc,DevOps Engineer,6,Bac+3,AWS,13000
SAP Maroc,Data Scientist / IA,3,Bac+2,TensorFlow,9000
Lenovo Maroc,Développeur Mobile,0,Master,Android Studio,7000
Deloitte Digital Maroc,Business Intelligence,0,Bac+2,Oracle BI,6000
Atos Maroc,Cloud Engineer,4,Bac+3,Azure,9000
Orange Business Services Maroc,Cloud Engineer,2,Bac+3,Kubernetes,7000
Tata Consultancy Services Maroc,Cloud Engineer,12,Ingénieur,Docker,16000
PWC Digital Maroc,Architecte Solutions,2,Master,System Design,13000
HP Maroc,Business Intelligence,11,Doctorat,SQL Server,17000
Capgemini Maroc,Data Scientist / IA,5,Ingénieur,PyTorch,20000
SAP Maroc,Architecte Solutions,1,Ingénieur,Microservices,20000
IBM Maroc,Data Scientist / IA,14,Ingénieur,R,31000
Huawei Maroc,Développeur Full Stack,15,Ingénieur,Angular,20000
Cisco Maroc,Cloud Engineer,2,Bac+3,Kubernetes,9000
Cisco Maroc,DevOps Engineer,2,Master,Ansible,12000
Atos Maroc,Développeur Mobile,14,Ingénieur,React Native,15000
Capgemini Maroc,DevOps Engineer,9,Master,Docker,17000
Sopra Steria Maroc,Cloud Engineer,10,Ingénieur,OpenStack,19000
CGI Maroc,DevOps Engineer,10,Master,Ansible,14000
Lenovo Maroc,DevOps Engineer,3,Bac+3,Terraform,8000
Huawei Maroc,Ingénieur Cybersécurité,3,Ingénieur,CISSP,17000
Dell Technologies Maroc,Chef de Projet IT,13,Master,JIRA,17000
HP Maroc,Architecte Solutions,3,Ingénieur,System Design,15000
Accenture Maroc,Cloud Engineer,8,Master,Azure,19000
Deloitte Digital Maroc,Architecte Solutions,4,Master,Cloud Architecture,15000
IBM Maroc,Ingénieur Réseau,12,Ingénieur,Juniper,18000
IBM Maroc,Business Intelligence,0,Bac+3,Talend,9000
Tata Consultancy Services Maroc,DevOps Engineer,15,Ingénieur,GitLab CI/CD,15000
Dell Technologies Maroc,Architecte Solutions,7,Bac+3,Cloud Architecture,11000
Atos Maroc,Développeur Mobile,5,Master,Flutter,10000
Oracle Maroc,Ingénieur Réseau,8,Ingénieur,CCNP,18000
EY Digital Maroc,Ingénieur Cybersécurité,5,Ingénieur,ISO 27001,20000
Atos Maroc,Développeur Full Stack,8,Master,React,12000
Accenture Maroc,Data Scientist / IA,10,Bac+3,Tableau,14000
Accenture Maroc,Business Intelligence,3,Bac+3,QlikView,10000
Tata Consultancy Services Maroc,Chef de Projet IT,0,Ingénieur,Agile,9000
KPMG Technology Maroc,Chef de Projet IT,1,Master,JIRA,13000
Orange Business Services Maroc,Architecte Solutions,10,Ingénieur,Enterprise Architecture,17000
Orange Business Services Maroc,Ingénieur Réseau,1,Bac+2,CCNA,4000
PWC Digital Maroc,Data Scientist / IA,7,Doctorat,TensorFlow,25000
Huawei Maroc,Développeur Mobile,15,Bac+3,Flutter,8000
Accenture Maroc,Chef de Projet IT,5,Bac+2,Scrum,8000
PWC Digital Maroc,Business Intelligence,11,Ingénieur,Power BI,19000
HP Maroc,Développeur Full Stack,3,Master,React,12000
Huawei Maroc,Architecte Solutions,1,Bac+3,Enterprise Architecture,8000
Accenture Maroc,Business Intelligence,12,Master,Talend,15000
HP Maroc,Architecte Solutions,10,Ingénieur,API,18000
Atos Maroc,Ingénieur Cybersécurité,10,Master,Pentest,17000
Lenovo Maroc,Data Scientist / IA,1,Bac+3,PyTorch,8000
Tata Consultancy Services Maroc,Architecte Solutions,1,Ingénieur,Cloud Architecture,11000
Tata Consultancy Services Maroc,Business Intelligence,9,Master,Oracle BI,9000
HP Maroc,Business Intelligence,10,Ingénieur,Oracle BI,13000
IBM Maroc,Data Scientist / IA,1,Bac+3,Scikit-learn,12000
Tata Consultancy Services Maroc,Chef de Projet IT,3,Master,Kanban,9000
CGI Maroc,Architecte Solutions,10,Bac+3,Enterprise Architecture,12000
Microsoft Maroc,Ingénieur Réseau,4,Bac+3,CCNA,11000
Oracle Maroc,Développeur Full Stack,9,Doctorat,Angular,26000
IBM Maroc,Business Intelligence,3,Master,Power BI,13000
Dell Technologies Maroc,Développeur Mobile,4,Master,React Native,10000
Atos Maroc,Développeur Mobile,10,Ingénieur,Kotlin,14000
HP Maroc,Ingénieur Réseau,14,Ingénieur,CCNA,15000
EY Digital Maroc,Développeur Mobile,8,Ingénieur,Xamarin,17000
Cisco Maroc,Ingénieur Réseau,0,Bac+2,CCNP,5000
Orange Business Services Maroc,Ingénieur Réseau,3,Bac+3,CCNA,6000
